공항코드(IATA),영문공항명,한글공항명,지역,영문국가명,한글국가명,영문도시명
YHH,Campbell River Harbour Airport,캠벨 리버 하버 공항,북미,Canada,캐나다,Campbell River
CAL,Campbeltown Machrihanish Airport,머크리하나쉬 공항,유럽,United Kingdom,영국,Campbeltown
CPE,Campeche International Airport,캄페체 국제공항,중남미,Mexico,멕시코,Campeche
CPV,Campina Grande Joao Suassuna Airport,자오 수아순나 공항,중남미,Brazil,브라질,Campina Grande
VCP,Campinas Viracopos Airport,비라코포스 공항,중남미,Brazil,브라질,Campinas
CAW,Campos dos Goytacazes Bartolomeu Lisandro Airport,바르톨뮤 라이산드로 공항,중남미,Brazil,브라질,Campos
VCA,Can Tho International Airport,트라 녹 공항,아시아,Vietnam,베트남,Can Tho
CAJ,Canaima Airport,카나이마 공항,중남미,Venezuela,베네수엘라,Canaima
CKZ,Canakkale Airport,차나칼레 공항,유럽,Turkey,터키,Canakkale
CBR,Canberra Airport,캔버라 국제공항,대양주,Australia,오스트레일리아,Canberra
CUN,Cancun International Airport,캔쿤 국제공항,중남미,Mexico,멕시코,Cancun
CEQ,Cannes Mandelieu Airport,만델리 공항,유럽,France,프랑스,Cannes
CIW,Canouan Island Airport,케우안 공항,중남미,Saint Vincent and the Grenadines,세인트빈센트그레나딘,Canouan Island
TTW,Tissa Tank Airport,캔트웰 공항,아시아,Sri Lanka,스리랑카,Cantwell
CAP,Cap-Haitien Hugo Chavez International Airport,캡하이트렌 국제공항,중남미,Haiti,가이아나,Cap Haitien
CSK,Cap Skirring Airport,캡스컬링 공항,아프리카,Senegal,세네갈,Cap Skiring
YTE,Cape Dorset Airport,케이프 도셋 공항,북미,Canada,캐나다,Cape Dorset
CEL,Canela e Gramado Airport,카넬라 그라마도 공항,중남미,Brazil,브라질,Cape Eleuthera
CGI,Cape Girardeau Regional Airport,케이프지라도 공항,북미,United States of America,미국,Cape Girardeau
LUR,Cape Lisburne Airport,케이프리스번 LRRS,북미,United States of America,미국,Cape Lisburne
CPT,Cape Town International Airport,케이프타운 국제공항,아프리카,South Africa,남아프리카,Cape Town
CPB,Capurgana Airport,카퍼가나 공항,중남미,Colombia,콜롬비아,Capurgana
CBD,Car Nicobar Island AFB,카니코바 공군기지,아시아,India,인도,Car Nicobar
CKS,Carajas Airport,카라쟈스 공항,중남미,Brazil,브라질,Carajas
CAF,Carauari Airport,카라우아리 공항,중남미,Brazil,브라질,Carauari
CRQ,Caravelas Airport,카라벨라스 공항,중남미,Brazil,브라질,Caravelas
CCF,Carcassonne Airport,살바자 공항,유럽,France,프랑스,Carcassonne
CWL,Cardiff Airport,카디프 국제공항,유럽,United Kingdom,영국,Cardiff
CAX,Carlisle Lake District Airport,칼라일 공항,유럽,United Kingdom,영국,Carlisle
CLD,San Diego McClellan-Palomar Airport,맥클러란 팔로마 공항,북미,United States of America,미국,Carlsbad
CNM,Carlsbad Cavern City Air Terminal,카번 시티 에어터미널,북미,United States of America,미국,Carlsbad
CVQ,Carnarvon Airport,카나번 공항,대양주,Australia,오스트레일리아,Carnarvon
CFN,Donegal Airport,도네걸 공항,유럽,Ireland,아일랜드,Carrickfin
CTG,Cartagena Rafael Nunez International Airport,라파엘 누네즈 공항,중남미,Colombia,콜롬비아,Cartagena
CRC,Cartago Airport,산타 안나 공항,중남미,Colombia,콜롬비아,Cartago
YRF,Cartwright Airport,카트라이트 공항,북미,Canada,캐나다,Cartwright
CAU,Caruaru Oscar Laranjeiras Airport,카루아루 오스카 라란제이라스 공항,중남미,Brazil,브라질,Caruaru
CAS,Casablanca Anfa Airport,안파 공항,아프리카,Morocco,모로코,Casablanca
CMN,Casablanca Mohammed V Airport,모하메드 V 공항,아프리카,Morocco,모로코,Casablanca
CAT,Tires Cascais Municipal Airport,티레즈 공항,유럽,Portugal,포르투갈,Cascais
CAC,Cascavel Airport,카스카벨 공항,중남미,Brazil,브라질,Cascavel
CPR,Casper/Natrona County International Airport,내트로나 카운티 국제공항,북미,United States of America,미국,Casper
HAR,Harrisburg Capital City Airport,하포드 공항,북미,United States of America,미국,Casper
CDT,Castellon Airport,카스텔론 공항,유럽,Spain,스페인,Castellon de la Plana
YCG,Castlegar West Kootenay Regional Airport,캐슬가 공항,북미,Canada,캐나다,Castlegar
DCM,Castres Mazamet Airport,마자메 공항,유럽,France,프랑스,Castres
YAC,Cat Lake Airport,캣 레이크 공항,북미,Canada,캐나다,Cat Lake
CTC,Catamarca Coronel Felipe Varela International Airport,커널 펠리페 바렐라 공항,중남미,Argentina,아르헨티나,Catamarca
CTA,Catania Fontanarossa Airport,폰타가로싸 공항  ,유럽,Italy,이탈리아,Catania
NSY,Sigonella Naval Air Field,시뇨넬라 공항  ,유럽,Italy,이탈리아,Catania
CRM,Catarman National Airport,카타르만 내셔널 공항,아시아,Philippines,필리핀,Catarman
MPH,Caticlan Godofredo P Ramos Airport,말레이 공항,아시아,Philippines,필리핀,Caticlan
CBT,Catumbela Airport,카툼베라 공항,아프리카,Angola,앙골라,Catumbela
CYZ,Cauayan Airport,카우아얀 공항,아시아,Philippines,필리핀,Cauayan
CAQ,Caucasia Airport,코카시아 공항,중남미,Colombia,콜롬비아,Caucasia
SGL,Manila-Sangley Point Danilo Atienza Air Base,마닐라-산글리 포인트 다닐로 아티엔자 공군 기지,아시아,Philippines,필리핀,Cavite City
CXJ,Caxias do Sul Airport,캄포 도스 부흐레스 공항,중남미,Brazil,브라질,Caxias Do Sul
CUK,Caye Caulker Airport,케이 코커 공항,중남미,Belize,벨리즈,Caye Caulker
CYC,Caye Chapel Airport,케이 채플 공항,중남미,Belize,벨리즈,Caye Chapel
CAY,Cayenne-Felix Eboue Airport,로샹보 공항,중남미,French Guiana,프랑스령기아나,Cayenne
CYB,Cayman Brac Charles Kirkconnell Airport,제라드 스미스 공항,중남미,Cayman Islands,케이맨제도(영국),Cayman Brae Island
CYO,Cayo Largo del Sur Airport,빌로 아쿠나 공항,중남미,Cuba,쿠바,Cayo Largo del Sur
CEB,Mactan-Cebu International Airport,막탄 국제공항,아시아,Philippines,필리핀,Cebu
CDC,Cedar City Regional Airport,체다시티 공항,북미,United States of America,미국,Cedar City
CID,Cedar Rapids Eastern Iowa Airport,이스턴 아이오와 공항 ,북미,United States of America,미국,Cedar Rapids
CED,Ceduna Airport,세두나 공항,대양주,Australia,오스트레일리아,Ceduna
NRR,Jose Aponte de la Torre Airport,호세 아폰테드라토레 공항,북미,Puerto Rico,푸에르토리코,Ceiba
APA,Denver Centennial Airport,센테니얼 공항,북미,United States of America,미국,Centennial
CEM,Central Airport,센트럴 공항,북미,United States of America,미국,Central
CPF,Ngloram Airport,음글로람 공항,아시아,Indonesia,인도네시아,Cepu
JCU,Ceuta Heliport,세우타 헬리포트,유럽,Spain,스페인,Ceuta
CBA,Corner Bay,채블리 공항,북미,United States of America,미국,Chabelley
CHH,Chachapoyas Airport,차차포야스 공항,중남미,Peru,페루,Chachapoyas
CDR,Chadron Municipal Airport,챠드론 시공항,북미,United States of America,미국,Chadron
ZBR,Chah-Bahar Konarak Airport,코나락 공항,중동,Iran,이란,Chah Bahar
CCN,Chakcharan Airport,착차란 공항,중동,Afghanistan,아프카니스탄,Chakhcharan
CIK,Chalkyitsik Airport,할키치크 공항,북미,United States of America,미국,Chalkyitsik
XCR,Paris Vatry Airport,샬롱 배트리 공항,유럽,France,프랑스,Chalons-en-Champagne
CMF,Chambery Savoie Mont Blanc Airport,샹베리 액스레뱅 공항,유럽,France,프랑스,Chambery
IXC,Chandigarh Airport,찬디가르 공항,아시아,India,인도,Chandigarh
BDP,Bhadrapur Chandragadi Airport,찬드라가디 공항,아시아,Nepal,네팔,Chandragadhi
NBS,Baishan Changbaishan Airport,창바이산 공항,아시아,China,중국,Changbai
CGQ,Changchun Longjia International Airport,창춘  다팡쉔 국제공항,아시아,China,중국,Changchun
CGD,Changde Taohuayuan Airport,창덕 타오화원 공항,아시아,China,중국,Changde
BPX,Qamdo Bamda Airport,캄도 바다 공항,아시아,China,중국,Changdu
CNI,Changhai Airport,창 하이 공항,아시아,China,중국,Changhai
CSX,Changsha Huanghua International Airport,창사 황화 국제공항,아시아,China,중국,Changsha
CHX,Changuinola Airport,창위놀라 공항,중남미,Panama,파나마,Changuinola
CIH,Changzhi Wangcun Airport,창즈  공항,아시아,China,중국,Changzhi
CZX,Changzhou Benniu International Airport,창저우  공항,아시아,China,중국,Changzhou
CHQ,Chania Ioannis Daskalogiannis Airport,이오아니스 다스칼로지아니스  ,유럽,Greece,그리스,Chania
CHG,Chaoyang Airport,조양 공항,아시아,China,중국,Chaoyang
XAP,Chapeco Airport,차페코 공항,중남미,Brazil,브라질,Chapeco
CHS,Charleston International Airport,찰스턴 국제공항 ,북미,United States of America,미국,Charleston
CRW,West Virginia International Yeager Airport,예이거 공항,북미,United States of America,미국,Charleston
CTL,Charleville Airport,샤를빌 공항,대양주,Australia,오스트레일리아,Charleville
YCL,Charlo Airport,샤를로 공항,북미,Canada,캐나다,Charlo
CLT,Charlotte Douglas International Airport,샬럿 더글라스 국제공항,북미,United States of America,미국,Charlotte
CHO,Charlottesville Albemarle Airport,샤로트빌 앨버마를 공항,북미,United States of America,미국,Charlottesville
YYG,Charlottetown Airport,샬롯타운 공항,북미,Canada,캐나다,Charlottetown
YHG,Charlottetown/Labrador Airport,샬럿타운 래브라도 공항,북미,Canada,캐나다,Charlottetown
CHR,Chateauroux Airport,샤토룩스 데올 공항,유럽,France,프랑스,Chateauroux
CHT,Chatham Islands Tuuta Airport,카레와 공항  ,대양주,New Zealand,뉴질랜드,Chatham Island
CHA,Chattanooga Metropolitan Airport,채터누가 메트로폴피탄 공항,북미,United States of America,미국,Chattanooga
HRJ,Chaurjhari Airport,차우르즈하리 공항,아시아,Nepal,네팔,Chaurjhari
CSY,Cheboksary Airport,체복사리 공항,유럽,Russian Federation,러시아,Cheboksary
CYF,Chefornak Sea Plane Base,체포낙 공항,북미,United States of America,미국,Chefornak
CEK,Chelyabinsk Kurchatov International Airport,발란디노 공항,유럽,Russian Federation,러시아,Chelyabinsk
NCN,New Chenega Airport,뉴체네가 공항,북미,United States of America,미국,Chenega
CDE,Chengde Puning Airport,승덕푸닝 공항,아시아,China,중국,Chengde
CTU,Chengdu Shuangliu International Airport,청두  슈앙리우 국제공항,아시아,China,중국,Chengdu
MAA,Chennai International Airport,첸나이 국제공항,아시아,India,인도,Chennai / Madras
CJJ,Cheongju International Airport,청주 국제공항,아시아,South Korea,대한민국,Cheongju
CER,Cherbourg Maupertus Airport,모페르투스 공항,유럽,France,프랑스,Cherbourg
CEE,Cherepovets Airport,체레포베츠 공항,유럽,Russian Federation,러시아,Cherepovets
CKC,Cherkasy International Airport,쳐카시 공항,유럽,Ukraine,우크라이나,Cherkasy
CWC,Chernivtsi International Airport,체르노브시 공항,유럽,Ukraine,우크라이나,Chernivtsi ( Chernovtsy )
CYX,Chersky Airport,체르스키 공항,유럽,Russian Federation,러시아,Chersky
CEG,Chester Hawarden Airport,후워든 공항,유럽,United Kingdom,영국,Chester
YCS,Chesterfield Inlet Airport,체스터필드 인렛 공항,북미,Canada,캐나다,Chesterfield Inlet
CTM,Chetumal Airport,체투말 국제공항,중남미,Mexico,멕시코,Chetumal
VAK,Chevak Airport,쉐박 공항,북미,United States of America,미국,Chevak
YHR,Chevery Airport,쉐브리 공항,북미,Canada,캐나다,Chevry
CYS,Cheyenne Regional Airport,샤이엔 지역공항 ,북미,United States of America,미국,Cheyenne
CNX,Chiang Mai International Airport,치앙마이 국제공항,아시아,Thailand,태국,Chiang Mai
CEI,Chiang Rai Airport,치앙라이 국제공항,아시아,Thailand,태국,Chiang Rai
YMT,Chibougamau Airport,치부가모 챠페 공항,북미,Canada,캐나다,Chibougamau
MDW,Chicago Midway International Airport,시카고 미드웨이 공항,북미,United States of America,미국,Chicago
ORD,Chicago O'Hare International Airport,오헤어 국제공항,북미,United States of America,미국,Chicago
PWK,Chicago Executive Airport,팔 와우키 공항,북미,United States of America,미국,Chicago
RFD,Chicago Rockford Airport,시카고 록퍼드 공항,북미,United States of America,미국,Chicago
CZA,Tinum Chichen Itza International Airport,티눔 치첸이트사 국제공항,중남미,Mexico,멕시코,Chichen Itza
CKX,Chicken Airport,치킨 공항,북미,United States of America,미국,Chicken
CIX,Chiclayo Cornel Ruiz Airport,커널 루이즈 공항,중남미,Peru,페루,Chiclayo
CIC,Chico Municipal Airport,셰코 시공항,북미,United States of America,미국,Chico
CIF,Chifeng Yulong Airport,츠펑  공항,아시아,China,중국,Chifeng
KCG,Chignik Airport,피셔리즈 공항,북미,United States of America,미국,Chignik
KCQ,Chignik Lake Airport,칙닉 레이크 공항,북미,United States of America,미국,Chignik
KCL,Chignik Lagoon Airport,치그니크 라군 공항,북미,United States of America,미국,Chignik Flats
CUU,Chihuahua General Fierro Villalobos Airport,제너럴 피에르 빌라로보스 공항  ,중남미,Mexico,멕시코,Chihuahua
YAI,Chillan General Bernardo O'Higgins Airport,제너날 베르나르도 오 히긴즈 공항,중남미,Chile,칠레,Chillan
CHM,Chimbote Airport,침보테 공항,중남미,Peru,페루,Chimbote
VPY,Chimoio Airport,치모이오 공항,아프리카,Mozambique,모잠비크,Chimoio
CCL,Chinchilla Airport,친칠라 공항,대양주,Australia,오스트레일리아,Chinchilla
JKH,Chios Omiros Airport,오미로스 공항 ,유럽,Greece,그리스,Chios
CIP,Chipata Airport,치파타 공항,아프리카,Zambia,잠비아,Chipata
BFO,Chiredzi Buffalo Range Airport,버팔로 공항,아프리카,Zimbabwe,짐바브웨,Chiredzi
CZN,Chisana Field,치사나 필드,북미,United States of America,미국,Chisana
YKU,Chisasibi Airport,치사시비 공항,북미,Canada,캐나다,Chisasibi
KIV,Chisinau International Airport,키시나우 국제공항,유럽,Moldova,몰도바,Chisinau
HTA,Chita Kadala Airport,카달랴 공항,유럽,Russian Federation,러시아,Chita
DUE,Dundo Airport,둔도공항,아프리카,Angola,앙골라,Chitato
CJL,Chitral Airport,치트랄 공항,아시아,Pakistan,파키스탄,Chitral
CTD,Chitre Alonso Valderrama Airport,치트레 알론소 발데라마 공항,중남미,Panama,파나마,Chitre
CGP,Chittagong Shah Amanat International Airport,샤아마낫 국제공항 ,아시아,Bangladesh,방글라데시,Chittagong
JUH,Chizhou Jiuhuashan Airport,츠저우 지우화산 공항,아시아,China,중국,Chizhou
CHY,Choiseul Bay Airport,쵸설베이 공항,대양주,Solomon Islands,솔로몬제도,Choiseul Bay
CKH,Chokurdakh Airport,쵸커다 공항,유럽,Russian Federation,러시아,Chokurdakh
CKG,Chongqing Jiangbei International Airport,충칭  지엥바이 국제공항,아시아,China,중국,Chongqing
CQW,Chongqing Xiannvshan Airport,충칭 셴뉘산 공항,아시아,China,중국,Chongqing 
WSK,Chongqing Wushan Airport,충칭 우산 공항,아시아,China,중국,Chongqing 
HOS,Chos Malal Airport,오스카 레궤라 공항,중남미,Argentina,아르헨티나,Chos Malal
CHC,Christchurch International Airport,크라이스트처치 국제공항,대양주,New Zealand,뉴질랜드,Christchurch
XCH,Christmas Island Airport,크리스마스아일랜드 공항,대양주,Christmas Island,크리스마스아일랜드,Christmas Island
NER,Neryungri Chulman Airport,츌만 공항,유럽,Russian Federation,러시아,Chulman
CJM,Chumphon Airport,첨폰 공항,아시아,Thailand,태국,Chumpon
YYQ,Churchill Metropolitan Area Airport,쳐칠 공항,북미,Canada,캐나다,Churchill
ZUM,Churchill Falls Airport,쳐칠 폴스 공항,북미,Canada,캐나다,Churchill Falls
ICI,Cicia Airport,시시아 공항,대양주,Fiji,피지,Cicia
CFG,Cienfuegos Airport,자이메 곤잘레즈 공항,중남미,Cuba,쿠바,Cienfuegos
CXP,Cilacap Tunggul Wulung Airport,퉁굴 울룽 공항,아시아,Indonesia,인도네시아,Cilacap
CMJ,Qimei Airport,치메이 공항,아시아,Taiwan,대만,Cimei 
LUK,Cincinnati Municipal Airport,신시내티 시공항,북미,United States of America,미국,Cincinnati
IRC,Circle City Airport,서클 시티 공항,북미,United States of America,미국,Circle
CBL,Ciudad Bolivar Airport,치우다드 볼리바 공항,중남미,Venezuela,베네수엘라,Ciudad Bolivar
CUA,Ciudad Constitucion Airport,시우다드 컨스티튜션 공항,중남미,Mexico,멕시코,Ciudad Constitucion
CME,Ciudad del Carmen Airport,퀴다드델카르멘 국제공항,중남미,Mexico,멕시코,Ciudad Del Carmen
AGT,Ciudad del Este Guarani International Airport,알레죠 가르시아 공항,중남미,Paraguay,파라과이,Ciudad Del Este
PZO,Puerto Ordaz Airport,마뉴엘 카를로스 피아르 구이아나 공항,중남미,Venezuela,베네수엘라,Ciudad Guayana
CGU,Ciudad Guayana Airport,시우다드 과야나 공항,중남미,Venezuela,베네수엘라,Ciudad Guayana
SFX,San Felix Macagua Airport,산펠릭스 마카과 공항,중남미,Venezuela,베네수엘라,Ciudad Guayana
CJS,Ciudad Juarez Abraham Gonzalez International Airport,시우다드 후아레스 국제공항 ,중남미,Mexico,멕시코,Ciudad Juarez
CEN,Ciudad Obregon Airport,치우다드오브레곤 국제공항 ,중남미,Mexico,멕시코,Ciudad Obregon
CQM,Ciudad Real Central Airport,시우다드 레알 중앙 공항,유럽,Spain,스페인,Ciudad Real
CVM,Ciudad Victoria Airport,제너럴 페드로 J. 멘데즈 내셔널 공항,중남미,Mexico,멕시코,Ciudad Victoria
CLP,Clarks Point Airport,클라크 포인트 공항,북미,United States of America,미국,Clarks Point
CKB,North Central West Virginia Airport,해리슨 매리온 지역공항,북미,United States of America,미국,Clarksburg
CAO,Clayton Airport,클레이튼 시공항,북미,United States of America,미국,Clayton
CMQ,Clermont Airport,클레르몽 공항,대양주,Australia,오스트레일리아,Clermont
CFE,Clermont-Ferrand Auvergne Airport,클레몽 페랑 오베뉴 공항 ,유럽,France,프랑스,Clermont-Ferrand
BKL,Cleveland Burke Lakefront Airport,클리블랜드 버크 레이크프런트 공항,북미,United States of America,미국,Cleveland
CLE,Cleveland Hopkins International Airport,클리블랜드 홉킨스 국제공항,북미,United States of America,미국,Cleveland /Cuyahoga
CLK,Oklahoma Clinton Regional Airport,클린턴 지역공항,북미,United States of America,미국,Clinton
CWI,Iowa Clinton Municipal Airport,클린턴 시공항,북미,United States of America,미국,Clinton
CNJ,Cloncurry Airport,클론커리 공항,대양주,Australia,오스트레일리아,Cloncurry
KFE,Fortescue Dave Forrest Airport,포트스큐 데이브 포레스트 공항,대양주,Australia,오스트레일리아,Cloudbreak Village
CVN,Clovis Regional Airport,클로비스 시공항,북미,United States of America,미국,Clovis
CMK,Nkopola The Makokola Airport,클럽마코코라 공항,아프리카,Malawi,말라위,Club Makokola
CLJ,Cluj Napoca Airport,나포카 공항,유럽,Romania,루마니아,Cluj
YCY,Clyde River Airport,클라이드 리버 공항,북미,Canada,캐나다,Clyde River
CIZ,Coari Airport,코아리 공항,중남미,Brazil,브라질,Coari
CAZ,Cobar Airport,코바 공항,대양주,Australia,오스트레일리아,Cobar
CIJ,Cobija Captain Anibal Arab Airport,캡튼 에밀 벨트람 공항,중남미,Bolivia,볼리비아,Cobija
OCC,Francisco de Orellana Airport,프란치스코 데 오렐라나 공항,중남미,Ecuador,에콰도르,Coca
CBB,Cochabamba Jorge Wilstermann Airport,코차밤바 호르헤 윌스터만 공항,중남미,Bolivia,볼리비아,Cochabamba
BBQ,Barbuda Codrington Airport,코링턴 공항,중남미,Antigua and Barbuda,앤티가바부다,Codrington
COD,Cody Yellowstone Regional Airport,엘로스톤 지역공항,북미,United States of America,미국,Cody / Yellowstone
CUQ,Coen Airport,코언 공항,대양주,Australia,오스트레일리아,Coen
CFA,Coffee Point Airport,커피 포인트 공항,북미,United States of America,미국,Coffee Point
KCC,Coffman Cove Sea Plane Base,코프먼 코브 해상 비행기 기지,북미,United States of America,미국,Coffman Cove
CFS,Coffs Harbour Airport,코프스하버 공항,대양주,Australia,오스트레일리아,Coffs Harbour
CJB,Coimbatore Peelamedu Airport,필라메두 공항,아시아,India,인도,Coimbatore
CDB,Cold Bay Airport,콜드베이 공항,북미,United States of America,미국,Cold Bay
PML,Port Moller Airport,포트몰러 공항,북미,United States of America,미국,Cold Bay
YOD,Cold Lake Airport,콜드 레이크 공항,북미,Canada,캐나다,Cold Lake
CXF,Coldfoot Airport,콜드풋 공항,북미,United States of America,미국,Coldfoot
CLQ,Colima Airport,콜리마 공항,중남미,Mexico,멕시코,Colima
COL,Coll Island Airport,콜 아일랜드 공항,유럽,United Kingdom,영국,Coll Island
CLL,Easterwood Airport,이스터웃 필드 공항,북미,United States of America,미국,College Station
CGN,Cologne/Bonn Airport,쾰른 본 공항,유럽,Germany,독일,Cologne
CMB,Colombo Bandaranaike International Airport,밴다라나이크 국제공항,아시아,Sri Lanka,스리랑카,Colombo
RML,Colombo International Airport Ratmalana,랏말라나 공항,아시아,Sri Lanka,스리랑카,Colombo
ONX,Colon Enrique Jimenez Airport,콜론 엔리케 히메네스 공항,중남미,Panama,파나마,Colon
CRI,Crooked Island Airport,클리프 아일랜드 공항,중남미,Bahamas,바하마,Colonel Hill
CSA,Colonsay Airport,콜론세이 공항,유럽,United Kingdom,영국,Colonsay
COS,Colorado Springs Airport,콜로라도스프링스  시공항 ,북미,United States of America,미국,Colorado Springs
COU,Columbia Regional Airport,컬럼비아 지역공항,북미,United States of America,미국,Columbia
CLU,Columbus Municipal Airport,콜럼버스 시공항,북미,United States of America,미국,Columbus
CMH,John Glenn Columbus International Airport,포트 콜럼버스 국제공항,북미,United States of America,미국,Columbus
CSG,Columbus Airport,콜럼버스 메트로폴리탄 공항,북미,United States of America,미국,Columbus
GTR,Golden Triangle Regional Airport,골든 트라이앵글 지역공항,북미,United States of America,미국,Columbus
LCK,Columbus Rickenbacker International Airport,리켄배커 공항,북미,United States of America,미국,Columbus
OSU,Columbus Ohio State University Airport,콜럼버스 오하이오 주립 대학교 공항,북미,United States of America,미국,Columbus
XPL,Palmerola International Airport,팔몰라 국제공항,중남미,Honduras,온두라스,Comayagua
CRD,Comodoro Rivadavia Cordoba Pajas Blancas International Airport,제네랄 엔리케 모스코니 공항,중남미,Argentina,아르헨티나,Comodoro Rivadavia
YQQ,Comox Valley Airport,코목스 공항,북미,Canada,캐나다,Comox
VCS,Con Dao Coong Airport,쿠웅 공항,아시아,Vietnam,베트남,Con Dao
CKY,Conakry Airport,코나크리 국제공항 ,아프리카,Guinea,기니,Conakry
CCP,Concepcion Carriel Sur Airport,카리엘 쉬 공항,중남미,Chile,칠레,Concepcion
CCR,Contra Costa Buchanan Field Airport,뷰캐넌 필드 공항,북미,United States of America,미국,Concord
USA,Concord Regional Airport,콩코드 지역 공항,북미,United States of America,미국,Concord NC 
COC,Concordia Comodoro Pierrestegui Airport,코모도로 J.J. 피어레스트구이 공항,중남미,Argentina,아르헨티나,Concordia
CCI,Concordia Olavo Cecco Rigon Airport,콘코르디아 올라보 세코 리곤 공항,중남미,Brazil,브라질,Concordia
COG,Condoto Mandinga Airport,맨딩가 공항,중남미,Colombia,콜롬비아,Condoto
CND,Constanta Mihail Kogalniceanu Airport,콘스탄짜 미하일 코갈니쵸누 국제공항,유럽,Romania,루마니아,Constanta
CZL,Constantine Mohamed Boudiaf Airport,아인 엘 베이 공항,아프리카,Algeria,알제리,Constantine
OTD,Contadora Airport,콘타도라 공항,중남미,Panama,파나마,Contadora Island
CTF,Coatepeque Airport,콘터머나 공항,중남미,Guatemala,과테말라,Contamana
CPD,Coober Pedy Airport,쿠버페디 공항,대양주,Australia,오스트레일리아,Coober Pedy
COH,Cooch Behar Airport,쿠치베하 공항,아시아,India,인도,Cooch Behar
CTN,Cooktown Airport,쿡타운 공항,대양주,Australia,오스트레일리아,Cooktown
OOM,Cooma Airport,쿠마 수노이 공항,대양주,Australia,오스트레일리아,Cooma
CJF,Coondewanna Airport,쿤데워나 공항,대양주,Australia,오스트레일리아,Coondewanna
RUY,Copan Ruinas Airport,코판 루나스 공항,중남미,Honduras,온두라스,Copan Ruinas
CPH,Copenhagen Kastrup Airport,코펜하겐 지역공항  ,유럽,Denmark,덴마크,Copenhagen
RKE,Copenhagen Roskilde Airport,로스카일데 공항,유럽,Denmark,덴마크,Copenhagen
CPO,Copiapo Desierto De Atacama Airport,데지에르토 데 아타카마 공항,중남미,Chile,칠레,Copiapo
YCO,Kugluktuk/Coppermine Kugluktuk Airport,코퍼마인 칼루투크 공항,북미,Canada,캐나다,Coppermine
YZS,Coral Harbour Airport,코랄 리버 공항,북미,Canada,캐나다,Coral Harbour
CZJ,Corazon De Jesus Airport,코라종 데 지저스 공항,중남미,Panama,파나마,Corazon de Jesus and Nargana Islands
COR,Cordoba Pajas Blancas International Airport,파자스 블랑카스 공항  ,중남미,Argentina,아르헨티나,Cordoba
ODB,Cordoba Airport,코르도바 공항,유럽,Spain,스페인,Cordoba
CDV,Cordova Mudhole Smith Airport,머럴 K. 머드홀 스미스 공항,북미,United States of America,미국,Cordova
CFU,Kerkyra Corfu International Airport,코르푸 국제공항 ,유럽,Greece,그리스,Corfu / Kerkyra
ORK,Cork Airport,코크 국제공항,유럽,Ireland,아일랜드,Cork
RNI,Corn Island Airport,콘아일랜드 공항,중남미,Nicaragua,니카라과,Corn Island
CZE,Coro Airport,호세 레오날도 치리노스 공항,중남미,Venezuela,베네수엘라,Coro
CZH,Corozal Ranchito Airport,라스 부루자스 공항,중남미,Belize,벨리즈,Corozal
CZU,Corozal Las Brujas Airport,라스 부루자스 공항,중남미,Colombia,콜롬비아,Corozal
CRP,Corpus Christi International Airport,코퍼스크리스티 국제공항,북미,United States of America,미국,Corpus Christi
OTR,Coto 47 Airport,코토 47 공항,중남미,Costa Rica,코스타리카,Corredores
CNQ,Corrientes Camba Punta Airport,캄바 푼타 공항,중남미,Argentina,아르헨티나,Corrientes
YCF,Cortes Bay Airport,코르테스 베이 공항,북미,Canada,캐나다,Cortes Bay
CEZ,Cortez Municipal Airport,몬테쥬마 카운티 공항,북미,United States of America,미국,Cortez
CMG,Corumba International Airport,코룸바 국제공항,중남미,Brazil,브라질,Corumba
CVU,Corvo Airport,코보 공항,유럽,Portugal,포르투갈,Corvo Island
CIY,Comiso Airport,빈세트 마글리오초 공항 ,유럽,Italy,이탈리아,Cosimo
CBO,Cotabato Awang Airport,아왕 공항,아시아,Philippines,필리핀,Cotabato
COO,Cotonou Airport,캐드훈 공항,아프리카,Benin,베냉,Cotonou
OTT,Cotriguacu Andre Maggi Airport,코트리구아쿠 안드레 매기 공항,중남미,Brazil,브라질,Cotriguacu
CBU,Cottbus/Drewitz Airport,코트부스/드레이츠 공항,유럽,Germany,독일,Cottbus
XWA,Williston Basin International Airport,윌리 스톤 바신 국제 공항,북미,United States of America,미국,Coulommiers / Voisins
CVT,Coventry Airport,배징턴 공항,유럽,United Kingdom,영국,Coventry
CXB,Cox's Bazar Airport,콕스즈바자르 공항,아시아,Bangladesh,방글라데시,Cox's Bazar
CZM,Cozumel Airport,코즈멜 국제공항,중남미,Mexico,멕시코,Cozumel
CGA,Craig Sea Plane Base,크레이그 해상 비행기 기지,북미,United States of America,미국,Craig
CCV,Craig Cove Airport,크레이그코브 공항,대양주,Vanuatu,바누아투,Craig Cove
CRA,Craiova Airport,크라이오바 공항,유럽,Romania,루마니아,Craiova
YXC,Canadian Rockies International Airport,크랜브룩 캐나디안 록키 국제공항,북미,Canada,캐나다,Cranbrook
CEC,Del Norte County Airport,잭 맥 마나라 필드 공항,북미,United States of America,미국,Crescent City
CCM,Criciuma Airport,포킨힌하 공항,중남미,Brazil,브라질,Crisciuma
CKI,Croker Island Airport,크로커아일랜드 공항,대양주,Australia,오스트레일리아,Croker Island
CKD,Crooked Creek Airport,크리프 크릭 공항,북미,United States of America,미국,Crooked Creek
